metadata,count,array_agg,array_agg
"{""mnc"": ""[1982] HCA 29"", ""href"": ""https://jade.io/article/66986""}",1,{ch_consent_pre_2024},{Chapter 8.3 Consent Offences Pre-23 September 2024.docx}
"{""mnc"": ""Copyright Act 1968 (Cth)"", ""href"": ""https://jade.io/article/218245""}",2,"{ch_bomb_hoaxes_321a_1,ch_sodomy_208_1_a}","{Chapter 10.14 Bomb Hoaxes 321A(1).docx,Chapter 11.33 Sodomy s 208(1)(a).docx}"
"{""mnc"": ""Bail Act 1977 (Vic)"", ""href"": ""https://jade.io/article/281638/section/72518""}",1,{ch_unrepresented_defendant},{Chapter 2.4 Unrepresented Defendant.docx}
"{""mnc"": ""Family Law Legislation Amendment (Family Violence and Other Measures) Act 2011 (Cth)"", ""href"": ""https://jade.io/article/259654""}",1,{ch_assault_police_officer},{Chapter 10.3 Assault on Police Officer in Execution of-the Officers Duty Serious Assault s340(1)(b).docx}
"{""mnc"": ""[1911] 2 KB 330"", ""href"": ""https://jade.io/citation/2307576""}",2,"{ch_killing_abusive_relationship,ch_jury_no_outside_influence}","{Chapter 17.25 Killing for Preservation in an Abusive Domestic Relationship s 304B.docx,Chapter 19.2 Jury Handout—No Outside Influence or Information.docx}"
"{""mnc"": ""Open Courts Act 2013 (Vic)"", ""href"": ""https://jade.io/article/306716/section/110""}",1,{ch_defendant_evidence_co_defendant},{Chapter 4.1 Evidence of Defendant in Respect of Co-Defendant.docx}
"{""mnc"": ""[2020] VSC 558"", ""href"": ""https://jade.io/article/763733""}",1,{ch_recorded_evidence_replay},{Chapter 2.13 Directions when the Recorded Evidence of an Important Witness is Replayed During Jury Deliberation.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/27210""}",1,{ch_introduction},{Chapter 1 Introduction.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/2232""}",1,{ch_alternative_charges},{Chapter 3.3 Alternative Charges.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/15881""}",1,{ch_disposition_co_defendant},{Chapter 2.20 Disposition of Charge Against Co-Defendant.docx}
"{""mnc"": ""Sale of Goods Act 1923 (NSW)"", ""href"": ""https://jade.io/article/276983""}",1,{ch_corruption_of_witness},{Chapter 15.2 Corruption of a Witness s 127.docx}
"{""mnc"": ""[1968] HCA 8"", ""href"": ""https://jade.io/article/66100""}",1,{ch_retaliation_judicial_officer},{Chapter 15.9 Retaliation Against Judicial Officer s 119B.docx}
"{""mnc"": ""[2013] VSC 120"", ""href"": ""https://jade.io/article/291887/section/385""}",1,{ch_torture},{Chapter 10.6 Torture s 320A.docx}
"{""mnc"": ""Open Courts Act 2013 (Vic)"", ""href"": ""https://jade.io/article/306716""}",1,{ch_majority_verdict},{Chapter 3.7 Majority Verdict.docx}
"{""mnc"": ""[2023] VSCA 226"", ""href"": ""https://jade.io/article/1047189""}",1,{ch_similar_fact_evidence},{Chapter 4.32 Similar Fact Evidence.docx}
"{""mnc"": ""[2016] VSC 734"", ""href"": ""https://jade.io/article/507462""}",1,{ch_penile_intercourse_child},{Chapter 11.6 Engaging in Penile Intercourse with Child.docx}
"{""mnc"": ""Criminal Code Act 1995 (Cth)"", ""href"": ""https://jade.io/article/216608""}",1,{ch_attempted_murder},{Chapter 9.5 Attempted-Murder-s306_20241029.docx}
"{""mnc"": ""[2016] EWHC Ch 256"", ""href"": ""https://jade.io/citation/6734884""}",1,{ch_carnal_knowledge},{Chapter 11.5 Carnal Knowledge.docx}
"{""mnc"": ""[2009] HCA 49"", ""href"": ""https://jade.io/article/119721""}",1,{ch_internet_procure_children},{Chapter 11.26 Using the Internet to Procure Children Under 16.docx}
"{""mnc"": ""[2011] HCA 4"", ""href"": ""https://jade.io/article/210554""}",1,{ch_exposing_child_indecent_act},{Chapter 11.19 Indecent Dealing Wilfully and Unlawfully Exposing a Child Under 16 to an Indecent Act.docx}
"{""mnc"": ""[1946] HCA 21"", ""href"": ""https://jade.io/article/64422""}",1,{ch_conspiracy_commonwealth_code},{Chapter 18.2 Conspiracy—Commonwealth Criminal Code s 11.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/27142""}",1,{ch_post_offence_conduct_guilt},{Chapter 4.11 Flight and Other Post-Offence Conduct as Demonstrating Consciousness of Guilt.docx}
"{""mnc"": ""[1924] UKHL 2"", ""href"": ""https://jade.io/citation/2715039""}",1,{ch_child_stealing},{Chapter 12.2 Child Stealing s 363.docx}
"{""mnc"": ""[2005] VSCA 190"", ""href"": ""https://jade.io/article/71545""}",1,{ch_identification},{Chapter 4.25 Identification.docx}
"{""mnc"": ""[1954] HCA 72"", ""href"": ""https://jade.io/article/65031""}",3,"{ch_deprivation_of_liberty,ch_official_corruption,ch_diminished_responsibility}","{Chapter 12.3 Deprivation of Liberty s 355.docx,Chapter 15.7 Official Corruption s 87.docx,Chapter 17.26 Diminished Responsibility s 304A.docx}"
"{""mnc"": ""[1989] HCA 51"", ""href"": ""https://jade.io/article/67526""}",1,{ch_defendant_giving_evidence},{Chapter 4.2 Defendant Giving Evidence (The Liberato Direction).docx}
"{""mnc"": ""40 NSWLR 622"", ""href"": ""https://jade.io/article/800347""}",1,{ch_kidnapping},{Chapter 12.4 Kidnapping s 354.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/2197""}",1,{ch_directed_verdict},{Chapter 2.24 Directed Verdict.docx}
"{""mnc"": ""[2016] EWHC Ch 1464"", ""href"": ""https://jade.io/citation/6734885/section/140827""}",1,{ch_possess_child_exploitation_material},{Chapter 11.10 Possessing Child Exploitation Material s 228D.docx}
"{""mnc"": ""[1961] HCA 4"", ""href"": ""https://jade.io/article/65552""}",1,{ch_burglary_entering},{Chapter 13.4 Burglary s 419 Entering s 421.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/1400969""}",1,{ch_jury_transcripts},{Chapter 2.3 Where the Jury are to be Provided with Transcripts.docx}
"{""mnc"": ""[2017] VSC 794"", ""href"": ""https://jade.io/article/567189/section/626""}",1,{ch_separate_consideration_charges},{Chapter 4.21 Separate Consideration of Charges.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/671140""}",1,{ch_complainants_sexual_offences},{Chapter 2.10 Complainants in Sexual Offence Matters s 5.docx}
"{""mnc"": ""[2020] VSCA 220"", ""href"": ""https://jade.io/article/763867/section/140530""}",1,{ch_recent_possession},{Chapter 8.5 Recent Possession.docx}
"{""mnc"": ""[2020] FCA 1455"", ""href"": ""https://jade.io/article/769331""}",1,{ch_rape_pre_2024},{Chapter 11.2 Rape Offences Pre-23 September 2024.docx}
"{""mnc"": ""[2008] VSCA 181"", ""href"": ""https://jade.io/article/83620""}",1,{ch_silence_as_admission},{Chapter 4.7 Defendant's Silence as an Admission.docx}
"{""mnc"": ""40 NSWLR 631"", ""href"": ""https://jade.io/article/801479""}",1,{ch_kidnapping_for_ransom},{Chapter 12.5 Kidnapping for Ransom s 354A.docx}
"{""mnc"": ""[2001] HCA 64"", ""href"": ""https://jade.io/article/68300""}",1,{ch_abuse_impairment_mind},{Chapter 11.13 Abuse of Persons with an Impairment of the Mind.docx}
"{""mnc"": ""National Domestic and Family Violence Bench Book"", ""href"": ""https://jade.io/article/1085400""}",1,{ch_murder_302_1_b},{Chapter 9.3 Unlawful Killing - Murder s 302(1)(b).docx}
"{""mnc"": ""[2014] VSCA 97"", ""href"": ""https://jade.io/article/332663""}",1,{ch_cross_exam_motive_lie},{Chapter 4.18 Cross-Examination as to Complainant's Motive to Lie.docx}
"{""mnc"": ""[2009] HCA 49"", ""href"": ""https://jade.io/article/119721/section/3910""}",1,{ch_distributing_intimate_images},{Chapter 11.31 Distributing Intimate Images s 223.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/19464""}",1,{ch_alibi},{Chapter 4.13 Alibi.docx}
"{""mnc"": ""[2020] VSC 785"", ""href"": ""https://jade.io/article/776905/section/140726""}",1,{ch_privilege_self_incrimination},{Chapter 2.16 Privilege Against Self-Incrimination.docx}
"{""mnc"": ""[2019] HCA 40"", ""href"": ""https://jade.io/article/674180/section/2055""}",1,{ch_distributing_prohibited_recordings},{Chapter 11.30 Distributing Prohibited Visual Recordings s 227B.docx}
"{""mnc"": ""[2020] VSC 395"", ""href"": ""https://jade.io/article/754091""}",1,{ch_dismissal_some_charges},{Chapter 2.18 Dismissal During the Trial of Some Charges Against Single Defendant.docx}
"{""mnc"": ""15 NSWLR 130"", ""href"": ""https://jade.io/article/800440""}",1,{ch_drug_trafficking},{Chapter 14.2 Trafficking in a Dangerous Drug.docx}
"{""mnc"": ""[2014] VSCA 119"", ""href"": ""https://jade.io/article/336740""}",1,{ch_distressed_condition},{Chapter 5.2 Distressed Condition.docx}
"{""mnc"": ""[2018] HCA 39"", ""href"": ""https://jade.io/article/609937""}",1,{ch_forgery_uttering},{Chapter 13.10 Forgery and Uttering s 488.docx}
"{""mnc"": ""[2018] FCA 1683"", ""href"": ""https://jade.io/article/619861""}",1,{ch_repeated_sexual_conduct_child},{Chapter 11.23 Maintaining a Sexual Relationship with a Child s 229B.docx}
"{""mnc"": ""Crimes Act 1958 (Vic)"", ""href"": ""https://jade.io/article/281802/section/1410696""}",1,{ch_bad_character_convictions},{Chapter 4.17 Bad Character—Previous Convictions.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/91793""}",1,{ch_manslaughter},{Chapter 9.4 Unlawful Killing ~ Manslaughter s 303.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/5589""}",1,{ch_retrial_warnings},{Chapter 2.25 Retrial Warnings.docx}
"{""mnc"": ""Associations Incorporation Act 1991 (ACT)"", ""href"": ""https://jade.io/article/402720""}",1,{ch_bomb_hoaxes_321a_2},{Chapter 10.15 Bomb Hoaxes s 321A(2).docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/27882""}",1,{ch_discharge_defence_counsel},{Chapter 2.19 Discharge of Defence Counsel During Trial.docx}
"{""mnc"": ""[1940] HCA 4"", ""href"": ""https://jade.io/article/64166/section/140192""}",1,{ch_in_court_interpreters_trial},{Chapter 19.5 Trial of Technical Solution for In-Court Interpreters.docx}
"{""mnc"": ""[2011] HCA 24"", ""href"": ""https://jade.io/article/224757""}",1,{ch_exposing_child_indecent_object},{Chapter 11.20 Indecent Dealing Exposing a Child Under 16 to an Indecent Object Etc.docx}
"{""mnc"": ""[2020] VSCA 136"", ""href"": ""https://jade.io/article/736694/section/821""}",1,{ch_domestic_relationships_violence},{Chapter 6.1 Directions about Domestic Relationships and Domestic Violence.docx}
"{""mnc"": ""[2009] HCA 4"", ""href"": ""https://jade.io/article/88999""}",1,{ch_possess_child_abuse_object},{Chapter 11.24 Possessing Child Abuse Object.docx}
"{""mnc"": ""1 AC 554"", ""href"": ""https://jade.io/citation/5606097""}",1,{ch_compulsion_31_1_c},{Chapter 17.12 Compulsion s 31(1)(c).docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/4932""}",1,{ch_interpreters_translators},{Chapter 2.22 Interpreters and Translators.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/2731""}",1,{ch_recordings_transcripts_exhibits},"{""Chapter 2.21 Tape Recordings, Transcripts and Exhibits.docx""}"
"{""mnc"": ""[1969] HCA 29"", ""href"": ""https://jade.io/article/66132""}",1,{ch_interference_with_corpse},{Chapter 16.1  Improper Interference with a Corpse.docx}
"{""mnc"": ""[1972] 1 WLR 1009"", ""href"": ""https://jade.io/citation/2758534""}",1,{ch_people_smuggling},{Chapter 18.4 People Smuggling.docx}
"{""mnc"": ""[1990] HCA 39"", ""href"": ""https://jade.io/article/67580""}",1,{ch_mistake_of_fact},{Chapter 17.8 Mistake of Fact s 24.docx}
"{""mnc"": ""[2020] VSCA 220"", ""href"": ""https://jade.io/article/763867/section/5208""}",1,{ch_murder_302_1_a},{Chapter 9.1 Unlawful Killing ~ Murder s 302(1)(a).docx}
"{""mnc"": ""[1954] HCA 20"", ""href"": ""https://jade.io/article/64974""}",1,{ch_defence_movable_property},{Chapter 17.15 Defence of Movable Property.docx}
"{""mnc"": ""[2016] HCA 26"", ""href"": ""https://jade.io/article/484545""}",1,{ch_accident},{Chapter 17.7 Accident s 23(1)(b).docx}
"{""mnc"": ""[2023] VSCA 226"", ""href"": ""https://jade.io/article/1047189/section/140340""}",1,{ch_sexual_offence_directions},{Chapter 5.1 Jury Directions Related to Sexual Offences.docx}
"{""mnc"": ""[2014] VSCA 97"", ""href"": ""https://jade.io/article/332663/section/788""}",1,{ch_absence_motive_lie},{Chapter 4.19 Absence of Complainant's Motive to Lie.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/23502""}",1,{ch_reasonable_doubt},{Chapter 3.2 Reasonable Doubt.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/1400968""}",1,{ch_judge_opening_remarks},{Chapter 2.2 Judge's Opening Remarks.docx}
"{""mnc"": ""112 FLR 45"", ""href"": ""https://jade.io/citation/5831146""}",1,{ch_threats},{Chapter 10.13 Threats s 359.docx}
"{""mnc"": ""[2005] VSCA 13"", ""href"": ""https://jade.io/article/71478/section/140771""}",1,{ch_attempts},{Chapter 7.1 Attempts.docx}
"{""mnc"": ""[2010] VSC 37"", ""href"": ""https://jade.io/article/126907""}",1,{ch_hearsay_caution},{Chapter 4.31 Caution in Using Hearsay.docx}
"{""mnc"": ""[1892] 1 Ch 104"", ""href"": ""https://jade.io/citation/563967""}",1,{ch_self_defence_death_gbh},{Chapter 17.20 Self Defence Against Unprovoked Assault When There is Death or GBH s 271(2).docx}
"{""mnc"": ""24 NSWLR 1"", ""href"": ""https://jade.io/article/800827""}",1,{ch_false_statement_oath},{Chapter 15.5 False Statement Under-Oath s 193.docx}
"{""mnc"": ""[1940] HCA 4"", ""href"": ""https://jade.io/article/64166""}",1,{ch_role_of_counsel_directions},{Chapter 19.3 - Judge P.E. Smith—The Role of Counsel in Seeking Directions.docx}
"{""mnc"": ""Children and Young Persons Act 1989 (Vic)"", ""href"": ""https://jade.io/article/281705/section/2480""}",1,{ch_privilege_self_incrimination_2},{Chapter 4.8 Privilege Against Self-Incrimination.docx}
"{""mnc"": ""[1960] HCA 84"", ""href"": ""https://jade.io/article/65505""}",1,{ch_unlawful_possession_motor_vehicle},{Chapter 13.13 Unlawful Possession of a Motor Vehicle s 408A(1)(b).docx}
"{""mnc"": ""[2018] VSCA 161"", ""href"": ""https://jade.io/article/593294/section/16803""}",1,{ch_intention},{Chapter 8.1 Intention.docx}
"{""mnc"": ""[2017] VSC 794"", ""href"": ""https://jade.io/article/567189""}",1,{ch_prior_inconsistent_statements},{Chapter 4.20 Prior Inconsistent Statements.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/628""}",1,{ch_adverse_inference_possible},"{""Chapter 4.4 Defendant Not Giving Evidence, Where an Adverse Inference May Follow from That.docx""}"
"{""mnc"": ""[1940] HCA 4"", ""href"": ""https://jade.io/article/64166/section/1492""}",1,{ch_juror_responsibilities},{Chapter 19.4 Your Responsibilities as a Juror.docx}
"{""mnc"": ""[1959] UKHL 1"", ""href"": ""https://jade.io/citation/2817006""}",1,{ch_domestic_discipline},{Chapter 17.16 Domestic Discipline s 280.docx}
"{""mnc"": ""[2017] VSC 794"", ""href"": ""https://jade.io/article/567189/section/140543""}",1,{ch_multiple_defendants_charges},{Chapter 4.22 Separate Consideration of Charges—Multiple Defendants Confronting Multiple Charges.docx}
"{""mnc"": ""Family Law Act 1975 (Cth)"", ""href"": ""https://jade.io/article/216646/section/15082""}",1,{ch_malicious_acts_gbh},{Chapter 10.4 Acts Intended to Cause Grievous Bodily Harm and Other Malicious Acts s 317.docx}
"{""mnc"": ""[2008] VSCA 162"", ""href"": ""https://jade.io/article/82434""}",1,{ch_dna},{Chapter 4.26 DNA.docx}
"{""mnc"": ""[1972] 1 WLR 1009"", ""href"": ""https://jade.io/citation/2758534/section/5647""}",1,{ch_pre_recording_affected_witness},{Chapter 19.1 Guidelines for Conducting Pre-Recording of an Affected Witness.docx}
"{""mnc"": ""[1994] FamCA 118"", ""href"": ""https://jade.io/article/1091570""}",1,{ch_administering_stupefying_drug},{Chapter 10.10 Administering a Stupefying or Overpowering Drug or Thing with Intent s 316.docx}
"{""mnc"": ""Crimes (Family Violence) Act 1987 (Vic)"", ""href"": ""https://jade.io/article/281809/section/28""}",1,{ch_murder_302_1_aa},{Chapter 9.2 Unlawful Killing - Murder s 302(1)(aa).docx}
"{""mnc"": ""(1994) FLC ¶92–492"", ""href"": ""https://jade.io/citation/2381467""}",1,{ch_cruelty_children_under_16},{Chapter 10.9 Cruelty to Children Under 16 s 364.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/8900""}",1,{ch_lies_credit_only},{Chapter 4.14 Lies Told by the Defendant Going Only to Credit.docx}
"{""mnc"": ""Bail Act 1977 (Vic)"", ""href"": ""https://jade.io/article/281638/section/9188""}",1,{ch_special_witnesses},{Chapter 2.8 Special Witnesses.docx}
"{""mnc"": ""Conveyancing Act 1919 (NSW)"", ""href"": ""https://jade.io/article/275256""}",1,{ch_stealing},{Chapter 13.1 Stealing s 391.docx}
"{""mnc"": ""[2006] FamCA 1386"", ""href"": ""https://jade.io/article/754408""}",1,{ch_choking_domestic_setting},{Chapter 10.8 Choking Suffocation or Strangulation in a Domestic Setting.docx}
"{""mnc"": ""Competition and Consumer Act 2010 (Cth)"", ""href"": ""https://jade.io/article/224884""}",1,{ch_repetition_of_insult},{Chapter 17.18 Prevention of Repetition of Insult s 270.docx}
"{""mnc"": ""[2021] FCA 879"", ""href"": ""https://jade.io/article/825840/section/140827""}",1,{ch_aggravation_robbery_assault_burglary},"{""Chapter 10.17 Circumstances of Aggravation (Robbery, Assault, and Burglary).docx""}"
"{""mnc"": ""34 NSWLR 723"", ""href"": ""https://jade.io/article/806061""}",1,{ch_provocation_304_post_2011},{Chapter 17.24 Provocation for Offences s 304 (Post-4 April 2011).docx}
"{""mnc"": ""[1942] AC 378"", ""href"": ""https://jade.io/citation/15614353""}",1,{ch_proof_mental_physical_elements},{Chapter 18.1 Proof of Mental and Physical Elements Commonwealth Offences.docx}
"{""mnc"": ""[2016] EWHC Ch 1464"", ""href"": ""https://jade.io/citation/6734885""}",1,{ch_making_child_exploitation_material},{Chapter 11.8 Making Child Exploitation Material s 228B.docx}
"{""mnc"": ""[1960] HCA 84"", ""href"": ""https://jade.io/article/65505/section/391060""}",1,{ch_drug_possession},{Chapter 14.1 Drugs Possession Drugs Misuse Act.docx}
"{""mnc"": ""[2013] VSC 120"", ""href"": ""https://jade.io/article/291887""}",1,{ch_grievous_bodily_harm},{Chapter 10.5 Grievous Bodily Harm.docx}
"{""mnc"": ""[2015] NSWCA 12"", ""href"": ""https://jade.io/article/366549""}",1,{ch_extraordinary_emergency},{Chapter 17.11 Extraordinary Emergency s 25.docx}
"{""mnc"": ""Children and Young Persons Act 1989 (Vic)"", ""href"": ""https://jade.io/article/281705""}",1,{ch_browne_v_dunn},{Chapter 4.9 The Rule in Browne v Dunn.docx}
"{""mnc"": ""[2013] VSC 588"", ""href"": ""https://jade.io/article/304894""}",1,{ch_expert_witnesses},{Chapter 4.28 Expert Witnesses.docx}
"{""mnc"": ""Bail Act 2013 (NSW)"", ""href"": ""https://jade.io/article/295881""}",1,{ch_taking_child_immoral_purposes},{Chapter 11.14 Taking Child for Immoral-Purposes s 219.docx}
"{""mnc"": ""[1915] UKHL 1"", ""href"": ""https://jade.io/citation/2845896""}",1,{ch_defence_dwelling_house},{Chapter 17.14 Defence of Dwelling House s 267.docx}
"{""mnc"": ""[2019] VSCA 219"", ""href"": ""https://jade.io/article/669554""}",1,{ch_conspiracy_non_commonwealth},{Chapter 7.2 Conspiracy Other than under the Criminal Code (Cth).docx}
"{""mnc"": ""[2020] VSCA 136"", ""href"": ""https://jade.io/article/736694""}",1,{ch_motive},{Chapter 4.23 Motive.docx}
"{""mnc"": ""[2020] VSC 785"", ""href"": ""https://jade.io/article/776905""}",1,{ch_hostile_witnesses},{Chapter 2.15 Hostile Witnesses.docx}
"{""mnc"": ""[2011] UKSC 34"", ""href"": ""https://jade.io/article/255527""}",1,{ch_threats_distribute_intimate_images},{Chapter 11.32 Threats to Distribute Intimate Images.docx}
"{""mnc"": ""[2009] NSWCA 177"", ""href"": ""https://jade.io/article/95956""}",1,{ch_going_armed_public},{Chapter 15.6 Going Armed in Public.docx}
"{""mnc"": ""[2013] VSC 743"", ""href"": ""https://jade.io/article/312939/section/140694""}",1,{ch_right_to_silence},{Chapter 4.5 Defendant's Right to Silence.docx}
"{""mnc"": ""[1884] UKHL 1"", ""href"": ""https://jade.io/citation/2326785""}",1,{ch_aiding_self_defence},{Chapter 17.22 Aiding in Self-Defence s 273.docx}
"{""mnc"": ""[2002] HCA 8"", ""href"": ""https://jade.io/article/68375""}",1,{ch_stalking_1999_to_2023},{Chapter 12.6 Stalking for Offences Between 30 April 1999 and 1 August 2023.docx}
"{""mnc"": ""[2009] HCA 49"", ""href"": ""https://jade.io/article/119721/section/788""}",1,{ch_incest},{Chapter 11.27 Incest.docx}
"{""mnc"": ""[2014] HCA 19"", ""href"": ""https://jade.io/article/332258""}",1,{ch_mistake_fact_sexual_post_2024},{Chapter 17.10 Mistake of Fact in Sexual Offending Post-September 2024.docx}
"{""mnc"": ""Family Violence Protection Act 2008 (Vic)"", ""href"": ""https://jade.io/article/281898/section/2032""}",1,{ch_out_of_court_admissions},{Chapter 4.10 Defendant’s Out-of-Court Admissions or Self-Serving Statements—Including Police Interviews and Pre-Text Calls.docx}
"{""mnc"": ""[2013] VSC 488"", ""href"": ""https://jade.io/article/302167""}",1,{ch_other_sexual_discreditable_conduct},{Chapter 5.5 Evidence of Other Sexual or Discreditable Conduct of the Defendant.docx}
"{""mnc"": ""[2009] HCA 4"", ""href"": ""https://jade.io/article/88999/section/140756""}",1,{ch_produce_supply_child_abuse_object},{Chapter 11.25 Producing or Suppling Child Abuse Object s 228I.docx}
"{""mnc"": ""3 QB 234"", ""href"": ""https://jade.io/citation/5253491""}",1,{ch_self_defence_unprovoked_assault},{Chapter 17.19 Self-Defence Against Unprovoked Assault s 271(1).docx}
"{""mnc"": ""[2023] VSCA 226"", ""href"": ""https://jade.io/article/1047189/section/141""}",1,{ch_delay_forensic_disadvantage},{Chapter 5.4 Delay-in-prosecution-and-significant-forensic-disadvantage.docx}
"{""mnc"": ""Community Gaming Regulation 2020 (NSW)"", ""href"": ""https://jade.io/article/760336""}",1,{ch_permitting_indecent_dealing},{Chapter 11.18 Indecent Dealing Permitting Indecent Dealing s 210(1)(c).docx}
"{""mnc"": ""Crimes Act 1958 (Vic)"", ""href"": ""https://jade.io/article/281802/section/414510""}",1,{ch_lies_told_defendant},{Chapter 4.15 - Lies-Told-By-The-Defendant.docx}
"{""mnc"": ""[2011] HCA 49"", ""href"": ""https://jade.io/article/258459/section/140558""}",1,{ch_procuring_young_person_intercourse},{Chapter 11.22 Procuring Young Person Etc for Penile Intercourse.docx}
