page_no,preceding_text,link_text,link_destination,link_domain,is_jade_link,is_sublink
39,"v Taylor [2017] QCA 169, [16]. Cf R v LAK","[2018]QCA 30,",https://archive.sclqld.org.au/qjudgment/2018/QCA18-030.pdf,sclqld,FALSE,FALSE
39,Qd R 283; Gately v The Queen (2007)232 CLR 208;,[2007]HCA 55);,https://www.hcourt.gov.au/sites/default/files/eresources/2007/HCA/55.pdf,hcourt,FALSE,FALSE
40,usually go into the jury room (Cf R v Peniamina,"[2018]QSC 283,",https://archive.sclqld.org.au/qjudgment/2018/QSC18-283.pdf,sclqld,FALSE,FALSE
40,"[2007]2 Qd R 462, 470 [14]. Cf R v OT","[2017]QCA 257,",https://archive.sclqld.org.au/qjudgment/2017/QCA17-257.pdf,sclqld,FALSE,FALSE
44,a fair trial (MacPherson v The Queen (1981)147 CLR 512;,[1981]HCA 46).,https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/HCA/1981/46.html,austlii,FALSE,FALSE
44,(R v Bellino [1993]1 Qd R 521; R v Bell,[2004]QCA 219).,http://archive.sclqld.org.au/qjudgment/2004/QCA04-219.pdf,sclqld,False,False
53,the court and to his counsel’. In R v M,"[2002]QCA 464,",https://archive.sclqld.org.au/qjudgment/2002/QCA02-464.pdf,sclqld,FALSE,FALSE
57,(R v BBR [2010]1 Qd R 546; R v MBT,[2012]QCA 343).,http://archive.sclqld.org.au/qjudgment/2012/QCA12-343.pdf,sclqld,FALSE,FALSE
58,(R v BBR [2010]1 Qd R 546; R v MBT,[2012]QCA 343).,http://archive.sclqld.org.au/qjudgment/2012/QCA12-343.pdf,sclqld,FALSE,FALSE
58,Act 1977 (see R v SCJ; Ex parte Attorney-General (Qld),[2015]QCA 123).,http://archive.sclqld.org.au/qjudgment/2015/QCA15-123.pdf,sclqld,FALSE,FALSE
61,"law(see R v Bisht (2013)234 A Crim R 309, [49];","[2013]QCA 238,",http://archive.sclqld.org.au/qjudgment/2013/QCA13-238.pdf,sclqld,FALSE,FALSE
70,required directions may result in a retrial(see R v SAW,[2006]QCA,http://archive.sclqld.org.au/qjudgment/2006/QCA06-378.pdf,sclqld,FALSE,FALSE
70,directions may result in a retrial(see R v SAW [2006]QCA,378;,http://archive.sclqld.org.au/qjudgment/2006/QCA06-378.pdf,sclqld,FALSE,FALSE
70,a retrial(see R v SAW [2006]QCA 378; R v DM,[2006]QCA 79;,http://archive.sclqld.org.au/qjudgment/2006/QCA06-079.pdf,sclqld,FALSE,FALSE
70,[2006]QCA 378; R v DM [2006]QCA 79; R v HAB,[2006]QCA 80;,http://archive.sclqld.org.au/qjudgment/2006/QCA06-080.pdf,sclqld,False,False
70,(2008)191 A Crim R 264; [2008]QCA 381; R v Horvarth,[2013]QCA 196).,http://archive.sclqld.org.au/qjudgment/2013/QCA13-196.pdf,sclqld,FALSE,FALSE
71,"[113]; R v HCS [2024]QCA 193, citing R v Nijamuddin",[2012]QCA 124).,http://archive.sclqld.org.au/qjudgment/2012/QCA12-124.pdf,sclqld,False,False
71,(2007)173 A Crim R 385; [2007]QCA 255; R v PBO,[2024]QCA 238).,https://archive.sclqld.org.au/qjudgment/2024/QCA24-238.pdf,sclqld,FALSE,FALSE
71,depend on the circumstances of the case. (R v PBO,[2024]QCA 238,https://archive.sclqld.org.au/qjudgment/2024/QCA24-238.pdf,sclqld,FALSE,FALSE
71,"Gately v The Queen (2007)232 CLR 208, R v Enright",[2023]QCA 89,https://archive.sclqld.org.au/qjudgment/2023/QCA23-089.pdf,sclqld,FALSE,FALSE
71,"R v Enright [2023]QCA 89 at [74]-[75], R v LAK",[2018]QCA 30,https://archive.sclqld.org.au/qjudgment/2018/QCA18-030.pdf,sclqld,False,False
75,(2007)173 A Crim R 385; [2007]QCA 255; R v PBO,[2024]QCA 238).,https://archive.sclqld.org.au/qjudgment/2024/QCA24-238.pdf,sclqld,FALSE,FALSE
75,depend on the circumstances of each case. (R v PBO,"[2024]QCA 238,",https://archive.sclqld.org.au/qjudgment/2024/QCA24-238.pdf,sclqld,False,False
75,Queen (2007)232 CLR 208; [2007]HCA 55; R v Enright [2023],"QCA 89,",https://archive.sclqld.org.au/qjudgment/2023/QCA23-089.pdf,sclqld,FALSE,FALSE
75,"R v Enright [2023] QCA 89, [74]-[75]; R v LAK","[2018]QCA 30,",https://archive.sclqld.org.au/qjudgment/2018/QCA18-030.pdf,sclqld,FALSE,FALSE
78,balance and fairness of the trial. In R v PBO,"[2024]QCA 238,",https://archive.sclqld.org.au/qjudgment/2024/QCA24-238.pdf,sclqld,FALSE,FALSE
78,evidence as necessary to ensure fairness and balance(R v PBO,"[2024]QCA 238,",https://archive.sclqld.org.au/qjudgment/2024/QCA24-238.pdf,sclqld,FALSE,FALSE
78,all the evidence in the case while deliberating(R v PBO,[2024]QCA,https://archive.sclqld.org.au/qjudgment/2024/QCA24-238.pdf,sclqld,FALSE,FALSE
78,the evidence in the case while deliberating(R v PBO [2024]QCA,"238,",https://archive.sclqld.org.au/qjudgment/2024/QCA24-238.pdf,sclqld,FALSE,FALSE
78,will depend on the circumstances of each case(R v PBO,"[2024]QCA 238,",https://archive.sclqld.org.au/qjudgment/2024/QCA24-238.pdf,sclqld,FALSE,FALSE
82,resulted in an error of law in R v Bisht,"[2013]QCA 238,",http://archive.sclqld.org.au/qjudgment/2013/QCA13-238.pdf,sclqld,FALSE,FALSE
82,"R v Bisht [2013]QCA 238, [49] and R v Little","[2013]QCA 223,",http://archive.sclqld.org.au/qjudgment/2013/QCA13-223.pdf,sclqld,FALSE,FALSE
85,leave has been given under s 17 (R v Baira,"[2009]QCA 332,",http://archive.sclqld.org.au/qjudgment/2009/QCA09-332.pdf,sclqld,FALSE,FALSE
85,of the entirety of any document containing it(R v Baira,"[2009]QCA 332,",http://archive.sclqld.org.au/qjudgment/2009/QCA09-332.pdf,sclqld,FALSE,FALSE
86,"possible circumstances relevant to the evaluation, see R v Bradley",[2013]QCA 163.,http://archive.sclqld.org.au/qjudgment/2013/QCA13-163.pdf,sclqld,False,False
96,the passages repeatedly. In the matter of R v Peniamina,"[2018]QSC 283,",https://archive.sclqld.org.au/qjudgment/2018/QSC18-283.pdf,sclqld,FALSE,FALSE
96,has used and annotated to assist understanding’(see R v Peniamina,"[2018]QSC 283,",https://archive.sclqld.org.au/qjudgment/2018/QSC18-283.pdf,sclqld,FALSE,FALSE
96,provided to the jury has also been edited(R v Khaled,[2014]QCA 349).,https://archive.sclqld.org.au/qjudgment/2014/QCA14-349.pdf,sclqld,FALSE,FALSE
97,retained on the file (Gately v R (2007)232 CLR 208;,[2007]HCA 55,https://www.hcourt.gov.au/sites/default/files/eresources/2007/HCA/55.pdf,hcourt,FALSE,FALSE
100,"for Immigration and Border Protection (2021)273 CLR 177, 186 [4]-[5];","[2021]HCA 12,",https://www.hcourt.gov.au/sites/default/files/eresources/2021/HCA/12.pdf,hcourt,FALSE,FALSE
112,"also Evans v The Queen (2007)235 CLR 521, 573-574 [191]-[193];",[2007]HCA,https://www.hcourt.gov.au/sites/default/files/eresources/2007/HCA/59.pdf,hcourt,FALSE,FALSE
112,"Evans v The Queen (2007)235 CLR 521, 573-574 [191]-[193]; [2007]HCA","59,",https://www.hcourt.gov.au/sites/default/files/eresources/2007/HCA/59.pdf,hcourt,False,False
119,the parties and invite submissions upon it(see R v Knight,"[2010]QCA 372,",http://archive.sclqld.org.au/qjudgment/2010/QCA10-372.pdf,sclqld,FALSE,FALSE
119,prison informers. See Crampton v The Queen (2000)206 CLR 161;,"[2000]HCA 60,",https://www.hcourt.gov.au/sites/default/files/eresources/2000/HCA/60.pdf,hcourt,FALSE,FALSE
119,"correctly identified to the jury. For example, in R v",LBG [2024] QCA 205,https://archive.sclqld.org.au/qjudgment/2024/QCA24-205.pdf,sclqld,FALSE,FALSE
122,"which version is correct, they should acquit(see R v Johnson","[2013]QCA 91,",http://archive.sclqld.org.au/qjudgment/2013/QCA13-091.pdf,sclqld,FALSE,FALSE
126,"CLR 166, 196-197 [77]-[80]; [2005]HCA 34, [77]-[80]; R v Baker","[2014]QCA 5,",http://archive.sclqld.org.au/qjudgment/2014/QCA14-005.pdf,sclqld,False,False
129,the High Court in R v Dookhea (2017)262 CLR 402;,"[2017]HCA 36,",https://www.hcourt.gov.au/sites/default/files/eresources/2017/HCA/36.pdf,hcourt,FALSE,FALSE
131,The Queen (2000)201 CLR 414; [2000]HCA 15; R v Willersdorf,"[2001]QCA 183,",http://archive.sclqld.org.au/qjudgment/2001/QCA01-183.pdf,sclqld,FALSE,FALSE
131,"Willersdorf [2001]QCA 183, [17]-[20]; Harwood v The Queen(2002)188 ALR 296;","[2002]HCA 20,",https://www.hcourt.gov.au/sites/default/files/eresources/2002/HCA/20.pdf,hcourt,FALSE,FALSE
131,"ALR 296; [2002]HCA 20, [17]-[19]. However, see R v Stevens","[2004]QCA 99,",http://archive.sclqld.org.au/qjudgment/2004/QCA04-099.pdf,sclqld,FALSE,FALSE
132,"(2003)86 SASR 262, 268; [2003]SASC 310). In R v Bickell","[2020]QCA 37,",https://archive.sclqld.org.au/qjudgment/2020/QCA20-037.pdf,sclqld,FALSE,FALSE
132,deliberate on the charges(see Stanton v R (2003)198 ALR 41;,"[2003]HCA 29,",https://www.hcourt.gov.au/sites/default/files/eresources/2003/HCA/29.pdf,hcourt,False,False
134,reaching their verdict(see Stevens v The Queen (2005)227 CLR 319;,[2005]HCA 65;,https://www.hcourt.gov.au/sites/default/files/eresources/2005/HCA/65.pdf,hcourt,False,False
134,319; [2005]HCA 65; Fingleton v The Queen (2005)227 CLR 166;,"[2005]HCA 34,",https://www.hcourt.gov.au/sites/default/files/eresources/2005/HCA/34.pdf,hcourt,False,False
134,"[2005]HCA 34, [77]-[80]; Murray v The Queen (2002)211 CLR 193;","[2002]HCA 26,",https://www.hcourt.gov.au/sites/default/files/eresources/2002/HCA/26.pdf,hcourt,False,False
144,already spent deliberating (Smith v The Queen (2015)255 CLR 161;,"[2015]HCA 27,",https://www.hcourt.gov.au/sites/default/files/eresources/2015/HCA/27.pdf,hcourt,FALSE,FALSE
144,the circumstances in which that might occur (R v BCG,[2012]QCA,http://archive.sclqld.org.au/qjudgment/2012/QCA12-167.pdf,sclqld,FALSE,FALSE
144,circumstances in which that might occur (R v BCG [2012]QCA,"167,",http://archive.sclqld.org.au/qjudgment/2012/QCA12-167.pdf,sclqld,False,False
150,"[159]-[168]; R v Johnston [2004]NSWCCA 58, [141]; R v Lewis",[1996]QCA,http://archive.sclqld.org.au/qjudgment/1996/QCA96-405.pdf,sclqld,FALSE,FALSE
150,"R v Johnston [2004]NSWCCA 58, [141]; R v Lewis [1996]QCA",405;,http://archive.sclqld.org.au/qjudgment/1996/QCA96-405.pdf,sclqld,False,False
152,"De Silva v The Queen (2019)268 CLR 57, 63 [11];","[2019]HCA 48,",https://www.hcourt.gov.au/sites/default/files/eresources/2019/HCA/48.pdf,hcourt,FALSE,FALSE
152,Azzopardi direction is required(Azzopardi v The Queen (2001)205 CLR 50;,[2001]HCA 25;,https://www.hcourt.gov.au/sites/default/files/eresources/2001/HCA/25.pdf,hcourt,FALSE,FALSE
152,(2001)205 CLR 50; [2001]HCA 25; see also R v Hartfiel,[2014]QCA 132).,http://archive.sclqld.org.au/qjudgment/2014/QCA14-132.pdf,sclqld,FALSE,FALSE
153,has been referred to with approval in R v Armstrong,[2006]QCA 158,http://archive.sclqld.org.au/qjudgment/2006/QCA06-158.pdf,sclqld,FALSE,FALSE
153,R v Armstrong [2006]QCA 158 and in R v McBride,[2008]QCA 412.,http://archive.sclqld.org.au/qjudgment/2008/QCA08-412.pdf,sclqld,FALSE,FALSE
155,direction is required(see Azzopardi v The Queen (2001)205 CLR 50;,"[2001]HCA 25,",https://www.hcourt.gov.au/sites/default/files/eresources/2001/HCA/25.pdf,hcourt,FALSE,FALSE
155,direction will ‘almost always be desirable’(see also R v Hartfiel,[2014]QCA 132).,http://archive.sclqld.org.au/qjudgment/2014/QCA14-132.pdf,sclqld,FALSE,FALSE
155,direction. In R v DAH (2004)150 A Crim R 14;,"[2004]QCA 419,",http://archive.sclqld.org.au/qjudgment/2004/QCA04-419.pdf,sclqld,FALSE,FALSE
155,Jersey CJ in R v Nicholson; Ex parte DPP (Cth),"[2004]QCA 393,",http://archive.sclqld.org.au/qjudgment/2004/QCA04-393.pdf,sclqld,False,False
172,issue(MWJ v The Queen (2005)80 ALJR 329; R v MAP,[2006]QCA 220).,http://archive.sclqld.org.au/qjudgment/2006/QCA06-220.pdf,sclqld,FALSE,FALSE
173,of Foley. In Hofer v The Queen (2021)274 CLR 351;,"[2021]HCA 36,",https://www.hcourt.gov.au/sites/default/files/eresources/2021/HCA/36.pdf,hcourt,FALSE,FALSE
173,"such onus(Hofer v The Queen (2021)274 CLR 351, 363 [35];","[2021]HCA 36,",https://www.hcourt.gov.au/sites/default/files/eresources/2021/HCA/36.pdf,hcourt,False,False
178,"in Nguyen v The Queen (2020)269 CLR 299, 311 [24];","[2020]HCA 23,",https://www.hcourt.gov.au/sites/default/files/eresources/2020/HCA/23.pdf,hcourt,False,False
180,s 632(2)Code and Robinson v The Queen (1999)197 CLR 162;,[1999]HCA 42.,https://www.hcourt.gov.au/sites/default/files/eresources/2025-10-30/HCA/Robinson%20v%20The%20Queen%20%28B59-1998%29%20%5B1999%5D%20HCA%2042.pdf,hcourt,FALSE,FALSE
183,v Lawson [1996]2 Qd R 587; R v Van Wirdum,[1994]QCA 476).,http://archive.sclqld.org.au/qjudgment/1994/QCA94-476.pdf,sclqld,FALSE,FALSE
186,(2007)175 A Crim R 449; [2007]QCA 173; R v Lennox,[2007]QCA 383;,http://archive.sclqld.org.au/qjudgment/2007/QCA07-383.pdf,sclqld,False,False
188,"considered and weighed(R v Baden-Clay (2016)258 CLR 308, 332-333 [77];",[2016]HCA 35).,https://www.hcourt.gov.au/sites/default/files/eresources/2016/HCA/35.pdf,hcourt,FALSE,FALSE
188,"and manslaughter (R v Baden-Clay (2016)258 CLR 308, 332 [74];",[2016]HCA 35).,https://www.hcourt.gov.au/sites/default/files/eresources/2016/HCA/35.pdf,hcourt,FALSE,FALSE
188,"for murder: (R v Baden-Clay (2016)258 CLR 308, 332 [74];","[2016]HCA 35,",https://www.hcourt.gov.au/sites/default/files/eresources/2016/HCA/35.pdf,hcourt,False,False
188,"(2006)16 VR 26, [38]-[40], [65]-[67]; [2006]VSCA 263; R v DAN","[2007]QCA 66,",http://archive.sclqld.org.au/qjudgment/2007/QCA07-066.pdf,sclqld,FALSE,FALSE
188,"[89], [99]). See also as stated in R v Andres",[2015]QCA 167,http://archive.sclqld.org.au/qjudgment/2015/QCA15-167.pdf,sclqld,FALSE,FALSE
188,Andres [2015]QCA 167 at [131]. But see R v Oliver,[2016]QCA 27,http://archive.sclqld.org.au/qjudgment/2016/QCA16-027.pdf,sclqld,FALSE,FALSE
189,"see, for example Gipp v The Queen (1998)194 CLR 106;",[1998]HCA 21,https://www.hcourt.gov.au/sites/default/files/eresources/2025-10-23/HCA/Gipp%20v%20The%20Queen%20%28B4-1998%29%20%5B1998%5D%20HCA%2021.pdf,hcourt,FALSE,FALSE
189,21 and Penney v The Queen (1998)72 ALJR 1316; [1998],HCA 51.,https://www.hcourt.gov.au/sites/default/files/eresources/2025-10-23/HCA/Penney%20v%20The%20Queen%20%28A66-1997%29%20%5B1998%5D%20HCA%2051.pdf,hcourt,FALSE,FALSE
194,and is best avoided(see Thomas JA(in dissent)in R v C,"[1999]QCA 270,",https://archive.sclqld.org.au/qjudgment/1999/QCA99-270.pdf,sclqld,False,False
197,4.15 Lies Told by Defendant)is required(see also R v Sheppard,[2010]QCA 342;,http://archive.sclqld.org.au/qjudgment/2010/QCA10-342.pdf,sclqld,False,False
197,R v Sheppard [2010]QCA 342; cf R v Lacey [2011],"QCA 386,",http://archive.sclqld.org.au/qjudgment/2011/QCA11-386.pdf,sclqld,FALSE,FALSE
197,of the offence(see Zoneff v The Queen (2000)200 CLR 234;,[2000]HCA 28).,https://www.hcourt.gov.au/sites/default/files/eresources/2000/HCA/28.pdf,hcourt,FALSE,FALSE
197,"in Zoneff v The Queen (2000)200 CLR 234, 245 [23];","[2000]HCA 28,",https://www.hcourt.gov.au/sites/default/files/eresources/2000/HCA/28.pdf,hcourt,FALSE,FALSE
197,be used impermissibly(see Dhanhoa v The Queen (2003)217 CLR 1;,[2003]HCA 40).,https://www.hcourt.gov.au/sites/default/files/eresources/2003/HCA/40.pdf,hcourt,FALSE,FALSE
197,"the time of the subject event, see R v Frank","[2010]QCA 150,",http://archive.sclqld.org.au/qjudgment/2010/QCA10-150.pdf,sclqld,FALSE,FALSE
197,"R v Frank [2010]QCA 150, [43](see also R v Scott",[2011]QCA 343).,http://archive.sclqld.org.au/qjudgment/2011/QCA11-343.pdf,sclqld,FALSE,FALSE
197,"by a complainant(OKS v Western Australia (2019)265 CLR 268, [19];","[2019]HCA 10,",https://www.hcourt.gov.au/sites/default/files/eresources/2019/HCA/10.pdf,hcourt,FALSE,FALSE
200,(2000)200 CLR 234 at [17]. See also R v Hennig,[2010]QCA 244,http://archive.sclqld.org.au/qjudgment/2010/QCA10-244.pdf,sclqld,FALSE,FALSE
200,also R v Hennig [2010]QCA 244 and R v Sheppard,[2010]QCA 342.,http://archive.sclqld.org.au/qjudgment/2010/QCA10-342.pdf,sclqld,FALSE,FALSE
200,"[1999]2 Qd R 529, [531]; R v Walton and Harman",[2001]QCA 309,http://archive.sclqld.org.au/qjudgment/2001/QCA01-309.pdf,sclqld,FALSE,FALSE
200,Walton and Harman [2001]QCA 309 at [61]; R v Dykstra,[2011]QCA 175,http://archive.sclqld.org.au/qjudgment/2011/QCA11-175.pdf,sclqld,FALSE,FALSE
200,[61]; R v Dykstra [2011]QCA 175 [13]; R v Ogunseye,[2024]QCA 152,https://anzlaw.thomsonreuters.com/Document/Ic8896d50642211efb6d78c1fa0b6d9c8/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,thomsonreuters,False,False
200,"case is being put: see Zoneff at[244][17], R v Frank",[2010] QCA 150,http://archive.sclqld.org.au/qjudgment/2010/QCA10-150.pdf,sclqld,FALSE,FALSE
201,of alternative charges. See also R v Box & Martin,[2001]QCA 272,http://archive.sclqld.org.au/qjudgment/2001/QCA01-272.pdf,sclqld,False,False
201,[8]; and R v Wehlow (2001)122 A Crim R 63;,[2001]QCA 193,http://archive.sclqld.org.au/qjudgment/2001/QCA01-193.pdf,sclqld,False,False
201,[33]. See also R v Mitchell [2008]2 Qd R 142;,[2007]QCA 267,http://archive.sclqld.org.au/qjudgment/2007/QCA07-267.pdf,sclqld,FALSE,FALSE
204,is raised. See Melbourne v The Queen (1999)198 CLR 1;,[1999]HCA 32;,https://www.hcourt.gov.au/sites/default/files/eresources/2025-10-30/HCA/Melbourne%20v%20The%20Queen%20%28D10-1998%29%20%5B1999%5D%20HCA%2032.pdf,hcourt,FALSE,FALSE
204,The Queen (1999)198 CLR 1; [1999]HCA 32; R v Jurcik,[2001]QCA 390;,http://archive.sclqld.org.au/qjudgment/2001/QCA01-390.pdf,sclqld,FALSE,FALSE
204,[1999]HCA 32; R v Jurcik [2001]QCA 390; R v Hinschen,[2008]QCA 145;,http://archive.sclqld.org.au/qjudgment/2008/QCA08-145.pdf,sclqld,False,False
204,not necessitate a good character direction. See R v Soloman,[2006]QCA 244.,http://archive.sclqld.org.au/qjudgment/2006/QCA06-244.pdf,sclqld,False,False
206,an explicit warning necessary(R v Sinclair (1997)191 LSJS 53; [1997],SASC 6127).,https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/sa/SASC/1997/6127.html?context=1;query=R%20v%20Sinclair;mask_path=au/cases/sa/SASC+au/cases/sa/SASCA+au/cases/sa/SASCFC+au/cases/sa/SACorC+au/cases/sa/SADC+au/cases/sa/SAERDC+au/cases/sa/SAET+au/cases/sa/SALC+au/cases/sa/SAPelhamRp+au/cases/sa/SAIRC+au/cases/sa/SAIndRp+au/cases/sa/SALawRp+au/cases/sa/SAStRp+au/cases/sa/SAWC+au/cases/sa/SACAT+au/cases/sa/SACHOSB+au/cases/sa/SACHOSBCP+au/cases/sa/SADB+au/cases/sa/SAEOT+au/cases/sa/SAHPT+au/cases/sa/SALGCmr+au/cases/sa/SAMB+au/cases/sa/SAPHB+au/cases/sa/SAPDB+au/cases/sa/SAIRComm+au/cases/sa/SADPCT+au/cases/sa/SAOmbFOI+au/cases/sa/SAPSB+au/cases/sa/SAPSBCP+au/cases/sa/SARTT+au/cases/sa/SARTTRP+au/cases/sa/SARTWPR+au/cases/sa/SARTWPRP+au/cases/sa/SAWLRP+au/cases/sa/SAWPRP+au/cases/sa/SAWCAT+au/cases/sa/SAWCT+au/cases/sa/SAWCRP,austlii,FALSE,FALSE
207,propensity can be drawn. See for example R v Aston-Brien,[2000]QCA 211,http://archive.sclqld.org.au/qjudgment/2000/QCA00-211.pdf,sclqld,False,False
212,to any issue(see Palmer v The Queen (1998)193 CLR 1;,"[1998]HCA 2,",https://www.hcourt.gov.au/sites/default/files/eresources/2025-10-16/HCA/Palmer%20v%20R%20%28M41-1997%29%20%5B1998%5D%20HCA%202.pdf,hcourt,False,False
212,themselves that the complainant was truthful(see R v Coss [2016],"QCA 44,",http://archive.sclqld.org.au/qjudgment/2016/QCA16-044.pdf,sclqld,FALSE,FALSE
213,reviewed: March 2026] Palmer v The Queen (1998)193 CLR 1;,[1998]HCA 2,https://www.hcourt.gov.au/sites/default/files/eresources/2025-10-16/HCA/Palmer%20v%20R%20%28M41-1997%29%20%5B1998%5D%20HCA%202.pdf,hcourt,FALSE,FALSE
215,"more recent discussion, on these sections, see R v WCD",[2024]QCA 120.,https://archive.sclqld.org.au/qjudgment/2024/QCA24-120.pdf,sclqld,FALSE,FALSE
219,February 2026] Separate consideration of charges In R v Doolan,"[2014]QCA 246,",https://archive.sclqld.org.au/qjudgment/2014/QCA14-246.pdf,sclqld,FALSE,FALSE
220,the summing-up (R v Mogg (2000)112 A Crim R 417;,"[2000]QCA 244,",https://archive.sclqld.org.au/qjudgment/2000/QCA00-244.pdf,sclqld,FALSE,FALSE
220,"Crim R 417; [2000]QCA 244, [54], [73]; R v FAC",[2012]QCA,https://archive.sclqld.org.au/qjudgment/2012/QCA12-213.pdf,sclqld,FALSE,FALSE
220,"R 417; [2000]QCA 244, [54], [73]; R v FAC [2012]QCA","213,",https://archive.sclqld.org.au/qjudgment/2012/QCA12-213.pdf,sclqld,FALSE,FALSE
220,acts In R v Bauer (a pseudonym) (2018)266 CLR 56;,"[2018]HCA 40,",https://www.hcourt.gov.au/sites/default/files/eresources/2018/HCA/40.pdf,hcourt,FALSE,FALSE
220,Director of Public Prosecutions (Vic) v Roder (2024)281 CLR 18;,[2024]HCA 15,https://www.hcourt.gov.au/sites/default/files/eresources/2024/HCA/15.pdf,hcourt,FALSE,FALSE
223,of them. Reference may be had to R v Vecchio,[2016]QCA 71,http://archive.sclqld.org.au/qjudgment/2016/QCA16-071.pdf,sclqld,FALSE,FALSE
