link_id,page_no,link_text,surrounding_text,link_destination,link_domain,jade_link
40,2,"[1968]1 QB 421,","proven guilty of a particular offence. See R v Mowatt [1968]1 QB 421, 426; [1967]EWCA Crim 1. In Holland, the High Court approved",https://www.iclr.co.uk/document/1961003961/casereport_53167/html,iclr,NA: ICLR
41,2,426;,"a particular offence. See R v Mowatt [1968]1 QB 421, 426; [1967]EWCA Crim 1. In Holland, the High Court approved a",https://jade.io/citation/2700021/section/140006,jade,NA: JADE
42,2,[1967]EWCA Crim 1.,"particular offence. See R v Mowatt [1968]1 QB 421, 426; [1967]EWCA Crim 1. In Holland, the High Court approved a statement from Lawrence",https://www.bailii.org/ew/cases/EWCA/Crim/1967/1.html,bailii,NA: BAILII
43,2,[1998]QCA 64;,"case’. See also R v Adams; Ex parte Attorney-General (Qld) [1998]QCA 64; and R v Mogg (2000)112 A Crim R 417, 430",https://www.queenslandjudgments.com.au/caselaw/qca/1998/64,queenslandjudgments,NA: QR
45,2,430,"64; and R v Mogg (2000)112 A Crim R 417, 430 [71]-[72]; [2000]QCA 244: ‘A trial judge’s duty … will rarely",https://jade.io/article/166653/section/4654,jade,NA: JADE
48,3,"(2002)76 ALJR 628,","applied to the facts …’ See further R v Chai (2002)76 ALJR 628, 632 [18]; [2002]HCA 12. In R v Ita [2003]NSWCCA 174,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2002178223&pubNum=5147&originatingDoc=I6f4c1e9087b511e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=76acafcb7d4440a5bf6494b4d76093e4&contextData=(sc.Default)&comp=wlau,thomsonreuters,NA: thomsonreuters
49,3,632,"facts …’ See further R v Chai (2002)76 ALJR 628, 632 [18]; [2002]HCA 12. In R v Ita [2003]NSWCCA 174, the",https://jade.io/article/68320/section/1035,jade,NA: JADE
51,3,[2002]HCA 12.,"See further R v Chai (2002)76 ALJR 628, 632 [18]; [2002]HCA 12. In R v Ita [2003]NSWCCA 174, the Court remarked at",https://www.hcourt.gov.au/sites/default/files/eresources/2002/HCA/12.pdf,hcourt,https://jade.io/article/68320
52,3,"[2003]NSWCCA 174,","ALJR 628, 632 [18]; [2002]HCA 12. In R v Ita [2003]NSWCCA 174, the Court remarked at [90] inter alia that: ‘[t]he precise",https://www.caselaw.nsw.gov.au/decision/549fa8ff3004262463b593e5,nsw,
53,3,[90],"In R v Ita [2003]NSWCCA 174, the Court remarked at [90] inter alia that: ‘[t]he precise nature of the task of",https://jade.io/article/183676/section/1087,jade,NA: JADE
55,3,427,"way in R v Mogg (2000)112 A Crim R 417, 427 [54]; [2000]QCA 244: ‘The onerous duties of a trial judge",https://jade.io/article/166653/section/788,jade,NA: JADE
58,3,"(2000)199 CLR 620,","Kirby, and Hayne JJ said in RPS v The Queen (2000)199 CLR 620, 637; [2000]HCA 3 that: • the fundamental task of a",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2000496633&pubNum=3586&originatingDoc=Idb17678087b311e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=4481d45a3e6744b0b3b7d73a45be270a&contextData=(sc.Default)&comp=wlau,thomsonreuters,NA: thomsonreuters
59,3,637;,"JJ said in RPS v The Queen (2000)199 CLR 620, 637; [2000]HCA 3 that: • the fundamental task of a trial",https://jade.io/article/68197/section/140607,jade,NA: JADE
60,3,[2000]HCA 3,"said in RPS v The Queen (2000)199 CLR 620, 637; [2000]HCA 3 that: • the fundamental task of a trial judge is",https://www.hcourt.gov.au/sites/default/files/eresources/2000/HCA/3.pdf,hcourt,https://jade.io/article/68197
61,5,"‘Your Primary Responsibilities as a Juror’,","of the above points. From July 2023, a pamphlet entitled ‘Your Primary Responsibilities as a Juror’, which contains a number of the points set out above,",https://archive.sclqld.org.au/sclpub/supreme-and-district-courts-benchbook/your-responsibilities-as-a-juror.pdf,sclqld,rosetta://link/ch_juror_responsibilities
62,7,28(2),to attend court in response to a summons. See s 28(2) of the Jury Act 1995. If a judge chooses to,https://jade.io/article/352986/section/3040,jade,NA: JADE
63,7,Jury Act,"in response to a summons. See s 28(2) of the Jury Act 1995. If a judge chooses to do so, see as",https://jade.io/article/352986,jade,NA: JADE
65,9,[2013]QCA 52,the guilty plea as an admission (See R v Rogers [2013]QCA 52 and Collins v The Queen; Ex parte Attorney-General (Qld) [1996]1,http://archive.sclqld.org.au/qjudgment/2013/QCA13-052.pdf,sclqld,https://jade.io/article/292148
66,9,"[1996]1 Qd R 631,","52 and Collins v The Queen; Ex parte Attorney-General (Qld) [1996]1 Qd R 631, 640). If there is more than one defendant, the associate",https://www.queenslandjudgments.com.au/case/id/502822,queenslandjudgments,NA: QR
67,9,640).,"The Queen; Ex parte Attorney-General (Qld) [1996]1 Qd R 631, 640). If there is more than one defendant, the associate goes",https://jade.io/article/206006/section/140777,jade,NA: JADE
70,10,"43,","challenges. For the rules governing challenges for cause, see ss 43, 47 of the Jury Act 1995. It is necessary for",https://jade.io/article/352986/section/102,jade,NA: JADE
71,10,47,"For the rules governing challenges for cause, see ss 43, 47 of the Jury Act 1995. It is necessary for an",https://jade.io/article/352986/section/424,jade,NA: JADE
74,10,"[2017]1 Qd R 453,","counsel)that the challenge be audible to the court(R v Shambayati [2017]1 Qd R 453, 458 [16]). See also ss 39, 41 of the Jury",https://www.queenslandjudgments.com.au/citation/2017-1-Qd-R-453,queenslandjudgments,NA: QR
75,10,458,"audible to the court(R v Shambayati [2017]1 Qd R 453, 458 [16]). See also ss 39, 41 of the Jury Act",https://jade.io/article/462160/section/140124,jade,NA: JADE
77,10,"39,","Shambayati [2017]1 Qd R 453, 458 [16]). See also ss 39, 41 of the Jury Act 1995. Jury Impartiality: Judge’s Remarks",https://jade.io/article/352986/section/1978,jade,NA: JADE
78,10,41,"[2017]1 Qd R 453, 458 [16]). See also ss 39, 41 of the Jury Act 1995. Jury Impartiality: Judge’s Remarks to",https://jade.io/article/352986/section/295,jade,NA: JADE
83,13,[2014]QSC 277).,46(3) of the Jury Act 1995 and R v MacGowan [2014]QSC 277). Post-Empanelment Having ascertained from the bailiff whether the rest of,https://archive.sclqld.org.au/qjudgment/2014/QSC14-277.pdf,sclqld,https://jade.io/article/350735
84,15,MediaSDC@justice.qld.gov.au.,"3738 7640, Level 10, QE II Courts of Law; or MediaSDC@justice.qld.gov.au. The PIO may consult with judges and their associates for",mailto:MediaSDC@justice.qld.gov.au,,
85,16,https://www.courts.qld.gov.au/newsroom/contact-us/media.,following Queensland Court media resources available on the courts’ website: https://www.courts.qld.gov.au/newsroom/contact-us/media. These include: • media court identification cards for use in,https://www.courts.qld.gov.au/newsroom/contact-us/media,qld,
86,16,2014/08 –Electronic Devices in Courtrooms,filming outside the QEII Courts of Law: • Supreme Court 2014/08 –Electronic Devices in Courtrooms • District Court 2014/10 –Electronic Devices in Courtrooms • Supreme,https://www.courts.qld.gov.au/__data/assets/pdf_file/0004/225553/sc-pd-8of2014.pdf,qld,
87,16,2014/10 –Electronic Devices in Courtrooms,Supreme Court 2014/08 –Electronic Devices in Courtrooms • District Court 2014/10 –Electronic Devices in Courtrooms • Supreme Court 2014/17 – Queen Elizabeth II Courts of,https://www.courts.qld.gov.au/__data/assets/pdf_file/0005/295988/dc-pd-10of2014.pdf,qld,
88,16,"2014/17 – Queen Elizabeth II Courts of Law Supreme Court, Brisbane","District Court 2014/10 –Electronic Devices in Courtrooms • Supreme Court 2014/17 – Queen Elizabeth II Courts of Law Supreme Court, Brisbane Accessways to Remain Clear • how to apply to access",https://www.courts.qld.gov.au/__data/assets/pdf_file/0020/262271/sc-pd-17of2014.pdf,qld,
90,16,@SupremeCourtQLD,Social Media Queensland Courts operate the following X(formerly Twitter)accounts: • @SupremeCourtQLD — Supreme Court of Queensland • @DistCourtQLD — District Court,https://twitter.com/SupremeCourtQLD,twitter,
91,16,@DistCourtQLD,X(formerly Twitter)accounts: • @SupremeCourtQLD — Supreme Court of Queensland • @DistCourtQLD — District Court of Queensland Queensland Supreme and District Courts,https://twitter.com/DistCourtQLD,twitter,
92,17,@MagsCourtQLD,2 During the Trial • @MagsCourtQLD — Magistrates Court of Queensland. These accounts are managed by,https://twitter.com/MagsCourtQLD,twitter,
93,17,h,"by the PIO, in accordance with the courts’social media disclaimer: h ttps://www.courts.qld.gov.au/newsroom/social-media. Image Consent Judges should contact the PIO should they",https://www.courts.qld.gov.au/newsroom/social-media,qld,
95,17,[1997]2 Qd R 436,"the trial after the Crown opening, see R v Nona [1997]2 Qd R 436 and R v Oulds (2014)244 A Crim R 443; [2014]QCA",https://www.queenslandjudgments.com.au/case/id/507020,queenslandjudgments,NA: QR
96,17,(2014)244 A Crim R 443;,v Nona [1997]2 Qd R 436 and R v Oulds (2014)244 A Crim R 443; [2014]QCA 223. Prosecution and Defence Cases At the conclusion of,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2034293555&pubNum=5341&originatingDoc=Ied1a4f7088b611e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=aa73844045584bd7a2b47a665cf7dfa6&contextData=(sc.Default)&comp=wlau,thomsonreuters,NA: thomsonreuters
97,17,[2014]QCA 223.,436 and R v Oulds (2014)244 A Crim R 443; [2014]QCA 223. Prosecution and Defence Cases At the conclusion of the prosecution,https://archive.sclqld.org.au/qjudgment/2014/QCA14-223.pdf,sclqld,https://jade.io/article/344444
98,17,"[1986]2 Qd R 209,","not to adduce rebuttal evidence. See Kern v The Queen [1986]2 Qd R 209, 211-212; R v Chin (1985)157 CLR 671; [1985]HCA 35; R",https://www.queenslandjudgments.com.au/case/id/506462,queenslandjudgments,NA: QR
99,17,211-212;,"evidence. See Kern v The Queen [1986]2 Qd R 209, 211-212; R v Chin (1985)157 CLR 671; [1985]HCA 35; R v",https://jade.io/citation/2674667/section/140966,jade,NA: JADE
100,17,(1985)157 CLR 671;,"The Queen [1986]2 Qd R 209, 211-212; R v Chin (1985)157 CLR 671; [1985]HCA 35; R v Soma (2001)122 A Crim R 537;",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1985188578&pubNum=3586&originatingDoc=Icdf1c6f087a811e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=f109a25603e342d890ecb213cee2c101&contextData=(sc.Default)&comp=wlau,thomsonreuters,NA: thomsonreuters
101,17,[1985]HCA 35;,"Qd R 209, 211-212; R v Chin (1985)157 CLR 671; [1985]HCA 35; R v Soma (2001)122 A Crim R 537; [2001]QCA 263.",https://jade.io/article/67199,jade,NA: JADE
102,17,(2001)122 A Crim R 537;,"v Chin (1985)157 CLR 671; [1985]HCA 35; R v Soma (2001)122 A Crim R 537; [2001]QCA 263. Then discuss with the lawyers, in the absence",https://anzlaw.thomsonreuters.com/Document/I2c813da088ac11e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,thomsonreuters,NA: thomsonreuters
103,17,[2001]QCA 263.,"[1985]HCA 35; R v Soma (2001)122 A Crim R 537; [2001]QCA 263. Then discuss with the lawyers, in the absence of the",https://archive.sclqld.org.au/qjudgment/2001/QCA01-263.pdf,sclqld,https://jade.io/article/167089
104,18,"[2016]QCA 336,","whom Morrison JA and Atkinson J agreed)in R v Gathercole [2016]QCA 336, [49]: ‘It is well established that in conducting an Australian",https://archive.sclqld.org.au/qjudgment/2016/QCA16-336.pdf,sclqld,https://jade.io/article/508903
105,18,[49]:,"JA and Atkinson J agreed)in R v Gathercole [2016]QCA 336, [49]: ‘It is well established that in conducting an Australian criminal",https://jade.io/article/508903/section/1625,jade,NA: JADE
106,18,"[2007]QCA 447,","of a prosecutor is set out in R v Smith [2007]QCA 447, [38] by McMurdo P(Keane JA and Daubney J agreeing). The",https://archive.sclqld.org.au/qjudgment/2007/QCA07-447.pdf,sclqld,https://jade.io/article/19155
107,18,[38],"prosecutor is set out in R v Smith [2007]QCA 447, [38] by McMurdo P(Keane JA and Daubney J agreeing). The Limits",https://jade.io/article/19155/section/1252,jade,NA: JADE
108,18,(2006)67 NSWLR 659;,"Wales Court of Criminal Appeal, in Livermore v The Queen (2006)67 NSWLR 659; [2006]NSWCCA 334, [31], identified a number of matters in a",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2010492318&pubNum=5138&originatingDoc=If5d2e0e0881c11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=9bdb043d1f6a44899eec4fa0ecc22822&contextData=(sc.Default)&comp=wlau,thomsonreuters,NA: thomsonreuters
109,18,"[2006]NSWCCA 334,","Criminal Appeal, in Livermore v The Queen (2006)67 NSWLR 659; [2006]NSWCCA 334, [31], identified a number of matters in a prosecutor’s address",https://www.caselaw.nsw.gov.au/decision/549fd5973004262463bf2289,nsw,Authorised Report
110,18,"[31],","in Livermore v The Queen (2006)67 NSWLR 659; [2006]NSWCCA 334, [31], identified a number of matters in a prosecutor’s address which",https://jade.io/article/2501/section/1017,jade,NA: JADE
111,19,306;,"Personal Opinions In R v Callaghan [1994]2 Qd R 300, 306; [1993]QCA 419, the Court of Appeal held that: ‘… it",https://jade.io/article/205748/section/140753,jade,NA: JADE
112,19,"[1993]QCA 419,","Opinions In R v Callaghan [1994]2 Qd R 300, 306; [1993]QCA 419, the Court of Appeal held that: ‘… it is not",https://archive.sclqld.org.au/qjudgment/1993/QCA93-419.pdf,sclqld,https://jade.io/article/205748
114,19,"[39]-[40],","Intemperate or Inflammatory Language In R v Smith [2007]QCA 447, [39]-[40], McMurdo P(Keane JA and Daubney J agreeing)said: ‘In determining whether",https://jade.io/article/19155/section/5033,jade,NA: JADE
115,19,(2015)93 NSWLR 474;,"not ridicule an accused’s case. In Hughes v The Queen (2015)93 NSWLR 474; [2015]NSWCCA 330, the New South Wales Court of Criminal Appeal",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2037887687&pubNum=5138&originatingDoc=Ie0144310882211e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=60e78deedd2642c7afff214d7044ac73&contextData=(sc.Default)&comp=wlau,thomsonreuters,NA: thomsonreuters
116,19,"[2015]NSWCCA 330,","accused’s case. In Hughes v The Queen (2015)93 NSWLR 474; [2015]NSWCCA 330, the New South Wales Court of Criminal Appeal considered 27",https://www.caselaw.nsw.gov.au/decision/56737c8ee4b05f2c4f04a2e7,nsw,Authorised Report
117,20,"[1994]1 Qd R 613,","judge’s ruling in a closing address. In R v Lewis [1994]1 Qd R 613, 627; [1992]QCA 223, Macrossan CJ said: ‘Counsel should not suggest",https://www.queenslandjudgments.com.au/citation/1994-1-Qd-R-613,queenslandjudgments,NA: QR
118,20,627;,"closing address. In R v Lewis [1994]1 Qd R 613, 627; [1992]QCA 223, Macrossan CJ said: ‘Counsel should not suggest or",https://jade.io/article/205369/section/140612,jade,NA: JADE
119,20,"[1992]QCA 223,","address. In R v Lewis [1994]1 Qd R 613, 627; [1992]QCA 223, Macrossan CJ said: ‘Counsel should not suggest or endeavour to",https://archive.sclqld.org.au/qjudgment/1992/QCA92-223.pdf,sclqld,https://jade.io/article/205369
120,20,(2007)179 A Crim R 453;,"Because of a Prosecutor’s Improper Final Address R v Smith (2007)179 A Crim R 453; [2007]QCA 447: Impugning the credit of Crown witnesses (security guards),",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2014539130&pubNum=5341&originatingDoc=I9f0edb2088b111e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=05662fc35e454afba26c7beab65ad12e&contextData=(sc.Default)&comp=wlau,thomsonreuters,NA: thomsonreuters
123,21,[2019]QCA 28:,to follow an impermissible path of reasoning’. R v PBC [2019]QCA 28: The appellant was convicted of indecent treatment and rape. At,https://archive.sclqld.org.au/qjudgment/2019/QCA19-028.pdf,sclqld,https://jade.io/article/635719
124,21,"[1962]Qd R 214,","a criminal trial (See Gibbs J in R v Hally [1962]Qd R 214, 217). However, as noted in R v Miller [2007]QCA 373,",https://www.queenslandjudgments.com.au/case/id/504771,queenslandjudgments,NA: QR
125,21,217).,"(See Gibbs J in R v Hally [1962]Qd R 214, 217). However, as noted in R v Miller [2007]QCA 373, [3],",https://jade.io/citation/2421318/section/140452,jade,NA: JADE
126,21,"[2007]QCA 373,","R 214, 217). However, as noted in R v Miller [2007]QCA 373, [3], a trial judge has power to adjourn a criminal",https://www.queenslandjudgments.com.au/caselaw/qca/2007/373,queenslandjudgments,NA: QR
127,21,"[3],","217). However, as noted in R v Miller [2007]QCA 373, [3], a trial judge has power to adjourn a criminal trial",https://jade.io/article/16851/section/140887,jade,NA: JADE
128,22,[2007]QCA 373).,a fair trial cannot be ensured (See R v Miller [2007]QCA 373). Discharging a Juror Section 33 of the Jury Act 1995,https://archive.sclqld.org.au/qjudgment/2007/QCA07-373.pdf,sclqld,https://jade.io/article/16851
129,22,33,(See R v Miller [2007]QCA 373). Discharging a Juror Section 33 of the Jury Act 1995 enshrines the common law principle,https://jade.io/article/352986/section/553,jade,NA: JADE
132,22,56,"jury of 12. However, that principle is qualified by s 56 of the Jury Act 1995, pursuant to which a judge",https://jade.io/article/352986/section/2189,jade,NA: JADE
136,22,[2005]1 Qd R 408,"of the procedures to be followed, see R v Roberts [2005]1 Qd R 408 and R v PAR [2015]1 Qd R 15. Disclosure of",https://www.queenslandjudgments.com.au/case/id/508913,queenslandjudgments,NA: QR
137,22,[2015]1 Qd R 15.,v Roberts [2005]1 Qd R 408 and R v PAR [2015]1 Qd R 15. Disclosure of the jury’s interim votes or voting pattern is,https://www.queenslandjudgments.com.au/case/id/507662,queenslandjudgments,NA: QR
138,22,60(1),a view on whether to discharge the jury under s 60(1) of the Jury Act 1995. See also Smith v The,https://jade.io/article/352986/section/8652,jade,NA: JADE
141,22,(2015)255 CLR 161;,"the Jury Act 1995. See also Smith v The Queen (2015)255 CLR 161; [2015]HCA 27, [47], [49]. The judge has a discretion under",https://anzlaw.thomsonreuters.com/Document/Id648a9f087ca11e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,thomsonreuters,NA: thomsonreuters
